"_id","_labels","createdAt","expanded","id","label","origin","position","visible","_start","_end","_type","citation","citations","createdAt","origin"
,,,,,,,,,"119876","119817","is positively coupled with","https://www.sciencedirect.com/science/article/pii/S0959652620339949","[""https://www.sciencedirect.com/science/article/pii/S0959652620339949""]","2023-05-17T20:58:51.367Z",""
,,,,,,,,,"119884","119886","is a type of","https://www.flyingmag.com/guides/what-is-a-drone/","[""https://www.flyingmag.com/guides/what-is-a-drone/""]","2023-05-17T20:58:04.571Z",""
,,,,,,,,,"119878","119939","is positively coupled with","https://www.ahu.edu/blog/robotics-in-healthcare","[""https://www.ahu.edu/blog/robotics-in-healthcare""]","2023-05-17T21:08:08.571Z",""
,,,,,,,,,"119878","119882","is positively coupled with","https://mantec.org/robotics-manufacturing/","[""https://mantec.org/robotics-manufacturing/""]","2023-05-17T21:01:20.319Z",""
,,,,,,,,,"119867","119817","is negatively coupled with","https://semiengineering.com/ai-power-consumption-exploding/","[""https://semiengineering.com/ai-power-consumption-exploding/""]","2023-05-17T21:02:47.627Z",""
,,,,,,,,,"119879","119886","is a type of","https://www.kbb.com/car-advice/self-driving-cars/","[""https://www.kbb.com/car-advice/self-driving-cars/""]","2023-05-17T20:41:56.250Z",""
,,,,,,,,,"119867","119823","is negatively coupled with","https://app.perusall.com/courses/i-and-c-sci-5-lec-a-glbl-dsrpt-inf-tech-35610-348762330/the-carbon-impact-of-artificial-intelligence-or-nature-machine-intelligence?assignmentId=EYgZFqTy9XTx9dEQB&part=1","[""https://app.perusall.com/courses/i-and-c-sci-5-lec-a-glbl-dsrpt-inf-tech-35610-348762330/the-carbon-impact-of-artificial-intelligence-or-nature-machine-intelligence?assignmentId=EYgZFqTy9XTx9dEQB&part=1""]","2023-05-17T21:04:55.966Z",""
,,,,,,,,,"119883","115797","is a type of","https://www.studysmarter.us/explanations/human-geography/agricultural-geography/types-of-agriculture/","[""https://www.studysmarter.us/explanations/human-geography/agricultural-geography/types-of-agriculture/""]","2023-05-17T21:03:56.188Z",""
,,,,,,,,,"115787","115801","is a type of","","","","teacher"
,,,,,,,,,"115787","115790","is negatively coupled with","","","","teacher"
,,,,,,,,,"115788","115800","is positively coupled with","","","","teacher"
,,,,,,,,,"115788","115801","is a type of","","","","teacher"
,,,,,,,,,"115788","115790","is negatively coupled with","","","","teacher"
,,,,,,,,,"115788","115795","is positively coupled with","","","","teacher"
,,,,,,,,,"115789","115805","is a type of","","[""undefined""]","","teacher"
,,,,,,,,,"115788","115796","is negatively coupled with","","","","teacher"
,,,,,,,,,"115788","115809","is negatively coupled with","","","","teacher"
,,,,,,,,,"115791","115792","is positively coupled with","","","","teacher"
,,,,,,,,,"115791","115809","is positively coupled with","","","","teacher"
,,,,,,,,,"115793","115809","is negatively coupled with","","[""undefined""]","","teacher"
,,,,,,,,,"115792","115807","is positively coupled with","","","","teacher"
,,,,,,,,,"119880","119886","is a type of","https://afdc.energy.gov/laws/12660","[""https://afdc.energy.gov/laws/12660""]","2023-05-17T20:42:56.375Z",""
,,,,,,,,,"115795","115793","is positively coupled with","","","","teacher"
,,,,,,,,,"115794","115802","is a type of","","","","teacher"
,,,,,,,,,"119881","119882","is positively coupled with","https://manufacturingdigital.com/technology/evolution-3d-printing-manufacturing","[""https://manufacturingdigital.com/technology/evolution-3d-printing-manufacturing""]","2023-05-17T20:45:59.662Z",""
,,,,,,,,,"115797","115809","is positively coupled with","","","","teacher"
,,,,,,,,,"119878","119883","is positively coupled with","https://www.croptracker.com/blog/robotic-technologies-in-agriculture.html","[""https://www.croptracker.com/blog/robotic-technologies-in-agriculture.html""]","2023-05-17T20:45:25.167Z",""
,,,,,,,,,"115796","115809","is positively coupled with","","[""undefined""]","","teacher"
,,,,,,,,,"119884","119885","is positively coupled with","https://www.aboutamazon.com/news/transportation/amazon-prime-air-prepares-for-drone-deliveries","[""https://www.aboutamazon.com/news/transportation/amazon-prime-air-prepares-for-drone-deliveries""]","2023-05-17T20:44:47.637Z",""
,,,,,,,,,"115798","115788","is positively coupled with","","","","teacher"
,,,,,,,,,"115797","115801","is positively coupled with","","","","teacher"
